open,close,high,low,volume,amount,amplitude,change_pct,change_val,turnover
3306.16,3390.01,3288.78,217882051.0,267884370339.0,3.04,-0.65,-21.52,0.67,3484.23
3103.91,3168.93,3087.51,83258080.0,118981231625.0,2.57,-2.07,-65.63,0.25,3185.76
3225.66,3232.84,3212.58,44919147.0,65697259729.0,0.63,-0.16,-5.01,0.14,3155.56
3044.85,3045.6,2967.24,56571942.0,72772226927.0,2.63,2.26,67.2,0.17,3034.08
3197.62,3213.79,3159.85,61619275.0,88275899352.0,1.69,0.21,6.68,0.19,3238.91
3257.98,3309.2,3256.34,105280164.0,132908076725.0,1.61,-0.99,-32.59,0.32,3345.13
3192.72,3193.6,3147.14,53683065.0,63455814284.0,1.47,0.98,30.94,0.16,3097.07
3004.17,3006.56,2985.71,38419327.0,49060076491.0,0.69,0.09,2.61,0.12,2916.41
3121.98,3124.58,3064.94,80464031.0,102679821385.0,1.96,2.37,72.23,0.25,3108.47
2954.87,2969.13,2927.1,38668362.0,49593983761.0,1.42,-0.05,-1.51,0.12,2887.1
2803.85,2836.62,2790.77,29317116.0,31960598827.0,1.62,-1.08,-30.68,0.09,2675.04
2644.76,2647.01,2523.34,65945680.0,62822831798.0,4.85,3.64,92.77,0.2,2658.43
2695.0,2713.91,2685.1,36636696.0,38724219259.0,1.07,-0.17,-4.59,0.11,2578.34
2421.93,2472.66,2418.67,35717534.0,33269154181.0,2.18,-2.25,-55.76,0.11,2295.87
2345.65,2394.5,2345.63,30527145.0,34410385319.0,2.04,-2.03,-48.68,0.09,2489.03
2597.48,2598.86,2560.34,76376656.0,76421806874.0,1.5,1.37,35.03,0.23,2612.4
2583.75,2599.24,2570.45,44926777.0,50115505934.0,1.11,-0.16,-4.04,0.14,2494.52
2631.49,2643.77,2617.09,58965667.0,64377486667.0,1.02,0.21,5.5,0.18,2597.64
2642.26,2655.16,2636.52,51855436.0,56976275428.0,0.7,-0.32,-8.59,0.16,2573.33
2465.24,2473.97,2452.99,40510078.0,45651476527.0,0.85,0.15,3.63,0.12,2391.9
2358.65,2371.12,2331.95,31420848.0,31277764382.0,1.68,1.1,25.73,0.1,2327.91
2204.87,2218.87,2203.12,25964986.0,23340891008.0,0.71,-0.29,-6.5,0.08,2312.05
2320.16,2327.73,2281.75,52548887.0,48330196363.0,2.03,2.21,50.11,0.16,2303.4
2245.41,2275.4,2245.4,35426475.0,30411864845.0,1.31,-1.84,-42.09,0.11,2184.41
2271.05,2276.28,2250.44,73375475.0,61399772028.0,1.15,1.08,24.29,0.22,2373.88
2577.73,2583.62,2474.0,93554091.0,96853471373.0,4.41,3.81,94.5,0.29,2655.38
2685.61,2740.74,2674.34,80626431.0,82460808230.0,2.43,-1.89,-51.86,0.25,2634.87
2614.99,2626.54,2598.51,69552756.0,71642665537.0,1.07,0.18,4.82,0.21,2477.29
2495.58,2511.2,2446.59,63050916.0,62189421706.0,2.64,1.88,46.11,0.19,2526.0
2642.56,2661.23,2640.88,79277709.0,81953853231.0,0.77,-0.07,-1.8,0.24,2413.09
2203.83,2211.04,2169.14,65836022.0,59536760190.0,1.89,-0.82,-18.15,0.2,2272.95
2247.26,2274.71,2244.25,60890893.0,58459999450.0,1.36,0.08,1.9,0.19,2286.2
2354.5,2354.86,2321.3,80554005.0,72663978650.0,1.45,1.47,34.16,0.25,2426.04
2472.54,2483.13,2462.55,100081301.0,99109155920.0,0.83,0.16,4.03,0.31,2369.22
2288.12,2325.56,2287.55,59848831.0,53183050105.0,1.62,-2.22,-51.88,0.18,2419.15
2406.64,2416.26,2386.25,51501196.0,47583527668.0,1.25,-0.14,-3.37,0.16,2313.38
2212.85,2214.12,2179.91,54049947.0,46785099888.0,1.56,0.87,19.17,0.17,2225.71
2287.44,2331.7,2286.2,106439533.0,91771595713.0,1.97,-0.92,-21.22,0.33,2170.04
2176.55,2186.73,2150.87,104491984.0,81203913733.0,1.66,0.82,17.75,0.32,2239.79
2190.47,2209.45,2186.76,45058911.0,41927012945.0,1.03,-0.19,-4.2,0.14,2180.06
2169.35,2171.17,2142.01,50056260.0,45627619375.0,1.36,1.03,22.07,0.15,2150.99
2165.12,2168.22,2152.31,54304188.0,50277570814.0,0.74,0.69,14.86,0.17,2170.09
2322.01,2339.04,2316.06,123022832.0,103362308865.0,0.99,-0.4,-9.36,0.38,2357.2
2338.29,2338.77,2313.26,63211423.0,58359967752.0,1.1,1.17,27.01,0.19,2440.34
2478.38,2478.38,2445.27,121953604.0,116500107810.0,1.35,1.12,27.39,0.37,2415.44
2502.15,2541.55,2489.42,208760911.0,176868665325.0,2.08,-0.16,-3.92,0.64,2614.16
3252.88,3270.88,3075.7,484462344.0,515773683037.0,6.25,4.1,127.99,1.48,3358.8
3546.72,3689.75,3536.4,349982672.0,430210592272.0,4.31,-0.35,-12.54,1.07,3580.12
3406.94,3407.18,3339.55,159309088.0,199120680699.0,2.02,1.82,61.02,0.49,3514.67
3839.74,3859.13,3809.71,391547630.0,463212821639.0,1.28,-0.16,-6.31,1.2,4104.67
4619.16,4620.06,4504.56,490314991.0,685365027867.0,2.55,2.15,97.24,1.5,4520.82
4951.33,4951.99,4870.6,455846718.0,719129953200.0,1.68,2.28,110.35,1.4,5259.41
4880.13,4883.73,4744.31,434638723.0,615374085939.0,2.91,1.96,94.04,1.33,3621.68
4176.28,4299.65,4154.62,392045373.0,535901647230.0,3.41,-1.75,-74.53,1.2,3947.47
3042.93,3200.11,3019.56,276081306.0,281160333742.0,5.51,-7.1,-232.6,0.85,3349.88
3242.75,3246.55,3186.51,74219468.0,88007466971.0,1.86,0.33,10.8,0.23,3527.88
3465.49,3501.7,3452.62,101401876.0,132231502584.0,1.41,-0.3,-10.47,0.31,3760.46
3749.3,3758.45,3693.14,197762126.0,236698987440.0,1.75,0.73,27.35,0.61,3754.96
3478.78,3518.22,3377.28,162116984.0,196017085879.0,4.06,0.28,9.71,0.5,3204.22
2984.76,2999.21,2960.21,91779724.0,91550346872.0,1.32,1.22,36.12,0.28,2942.1
3065.69,3106.8,3034.0,117108655.0,123539094703.0,2.41,1.57,47.41,0.36,3171.31
3275.83,3286.07,3252.05,113157327.0,117989443450.0,1.04,0.44,14.45,0.35,3153.54
3086.02,3105.2,3073.46,65278125.0,75389385458.0,1.03,-0.3,-9.29,0.2,3172.96
3112.67,3118.73,3089.71,63587141.0,74647802462.0,0.93,0.07,2.31,0.19,3199.16
3237.6,3254.51,3232.26,72701255.0,91367448994.0,0.68,-0.33,-10.63,0.22,3190.55
3365.02,3374.04,3341.19,119961508.0,135382706293.0,0.98,0.02,0.53,0.37,3321.01
3266.64,3270.9,3254.32,59142979.0,68957744044.0,0.51,0.28,9.24,0.18,3299.16
3340.13,3370.75,3337.29,93133309.0,104797971448.0,1.0,-0.17,-5.57,0.29,3409.22
3564.04,3583.72,3521.38,236918356.0,248322816339.0,1.76,0.82,28.96,0.73,3399.41
3297.76,3312.11,3288.1,70087923.0,75972960431.0,0.73,-0.13,-4.13,0.21,3314.15
3365.68,3376.71,3354.62,63754462.0,69758178999.0,0.65,-0.22,-7.53,0.2,3483.2
3426.94,3443.05,3414.68,84570381.0,90090049490.0,0.82,-0.63,-21.79,0.26,3464.2
3509.44,3523.1,3498.0,181824537.0,202154571423.0,0.71,-0.22,-7.89,0.56,3435.1
3399.19,3406.58,3391.59,82977611.0,92183332845.0,0.44,0.41,13.81,0.25,3485.22
3518.76,3536.14,3514.39,76452708.0,91462287360.0,0.62,-0.28,-10.03,0.23,3667.23
3667.18,3667.54,3622.04,124622057.0,141472284672.0,1.24,0.1,3.62,0.38,3768.19
3701.42,3707.14,3679.73,104134141.0,127282167808.0,0.74,-0.13,-4.64,0.32,3835.84
3831.3,3843.3,3818.52,122427005.0,153477214208.0,0.65,0.03,1.34,0.37,3910.11
3959.4,3959.5,3922.03,93058153.0,120192151552.0,0.95,0.73,28.6,0.28,4051.49
4102.4,4214.19,4086.9,178147228.0,237536706560.0,3.01,-2.96,-125.17,0.55,3962.83
4041.54,4086.93,4026.45,91926963.0,129938837504.0,1.49,-0.32,-13.06,0.28,4187.2
4365.08,4392.2,4336.24,195374950.0,250308091904.0,1.27,-0.57,-24.81,0.6,3896.17
4018.1,4042.83,3995.87,87952548.0,118197858304.0,1.17,0.04,1.64,0.27,4045.74
3854.86,3898.61,3852.5,88730609.0,131593068544.0,1.19,-0.2,-7.62,0.27,3754.69
3893.06,3894.49,3867.31,70667809.0,103255142400.0,0.7,0.55,21.44,0.22,3823.74
3779.98,3792.55,3756.51,68709834.0,105597923328.0,0.95,0.01,0.36,0.21,3525.13
3407.53,3427.57,3375.14,72040950.0,89661505536.0,1.51,-1.73,-59.99,0.22,3583.32
3405.02,3424.04,3380.57,68967299.0,85634523136.0,1.28,0.22,7.49,0.21,3339.39
3224.21,3245.62,3209.11,58491305.0,67722118912.0,1.13,-0.18,-5.86,0.18,3415.95
3134.95,3137.75,3009.5,98839688.0,110951370752.0,4.21,2.97,90.56,0.3,3269.47
3218.41,3278.78,3213.68,109361155.0,114155065344.0,1.98,-2.31,-76.19,0.33,3224.26
3067.42,3097.72,3044.29,69749463.0,78181425152.0,1.73,-0.77,-23.71,0.21,3049.87
3141.05,3157.63,3131.87,59870479.0,62669651968.0,0.82,-0.07,-2.27,0.18,3392.85
3749.71,3749.71,3668.77,204711004.0,235620622336.0,2.21,2.19,80.34,0.63,3753.64
3971.29,3988.1,3956.51,226000340.0,281892057088.0,0.79,-0.07,-2.64,0.69,4085.11
3667.46,3722.93,3642.5,112867356.0,145058488320.0,2.16,-1.43,-53.21,0.35,3629.53
3564.68,3601.04,3557.02,85534403.0,104367267840.0,1.22,-0.9,-32.43,0.26,3836.31
3793.13,3811.1,3774.76,74842732.0,113147604992.0,0.96,-0.25,-9.66,0.23,3803.59
3669.29,3675.46,3646.94,88457708.0,114981617664.0,0.79,1.32,47.86,0.27,3796.88
3972.95,3985.24,3954.88,146809754.0,209545388032.0,0.77,0.62,24.44,0.45,3887.55
3925.22,3935.81,3913.92,64863744.0,99991851008.0,0.56,0.06,2.53,0.2,3883.81
3907.93,3913.1,3868.32,76645993.0,107085819904.0,1.15,0.8,30.84,0.23,3829.21
4032.78,4057.64,4025.34,151351764.0,197620207616.0,0.8,-0.22,-9.02,0.46,4161.22
4185.83,4185.96,4149.49,122409147.0,202692288512.0,0.88,0.75,30.98,0.37,3945.67
4084.88,4110.53,4067.44,181290980.0,282050207744.0,1.06,0.29,11.86,0.55,3771.01
3674.11,3690.64,3637.59,126876672.0,180640800768.0,1.43,-0.97,-35.95,0.39,3820.85
3867.03,3880.74,3833.72,95854589.0,151282102272.0,1.22,0.46,17.88,0.29,3963.78
3983.65,4018.68,3982.93,136597484.0,200882765824.0,0.9,0.0,0.08,0.42,4009.78
4698.13,4796.32,4688.06,406008553.0,635254743040.0,2.32,0.6,28.04,1.24,4682.66
4762.76,4791.86,4691.16,227854405.0,404323405824.0,2.11,-0.3,-14.35,0.7,4717.79
4669.37,4789.3,4655.56,148607790.0,282316394496.0,2.8,-2.11,-100.85,0.45,4654.22
4798.74,4833.89,4796.26,109964961.0,213878284288.0,0.78,-0.17,-8.36,0.34,4776.47
4904.17,4904.17,4848.62,148770980.0,266705031168.0,1.14,0.97,47.32,0.46,4963.13
4953.87,4968.86,4938.19,106778967.0,229696036864.0,0.62,0.18,8.77,0.33,5122.48
5518.52,5541.46,5410.78,207051868.0,422717210624.0,2.39,1.11,60.44,0.63,5429.7
5437.57,5598.83,5379.73,225428611.0,472369209344.0,3.93,-2.55,-142.1,0.69,5024.56
