标题,发布时间,内容,浏览量,来源列表页,链接
山东工程职业技术大学举行“新时代本科层次职业教育高端论坛”, 发布时间: 2019-06-13,"
为深入贯彻习近平新时代中国特色社会主义思想和全国教育大会精神，落实《国家职业教育改革实施方案》，助力学校职业本科教育试点工作顺利开展，推动学校职业教育改革和高质量发展，我校于
6月12日下午在诚基楼学术报告厅举办“新时代本科层次职业教育高端论坛”，特邀深圳职业技术学院创校校长俞仲文教授来我校作专题讲座，讲座由我校校长吴梦军主持，我校副校长林玉贵、张有志、李章泉、王守光出席报告会，全校教职工代表、学生代表600余人聆听讲座。
俞仲文校长，英国胡佛汉顿大学管理学荣誉博士，现任中国职业技术教育学会副会长和全国民办职教分会会长，曾任深圳大学党委副书记、深圳职业技术学院创校校长和广东岭南职业技术学院院长、中国陶行知研究会职业教育专业委员会主任、全国高职高专人才培养工作委员会副主任兼实践教学组组长、教育部全国示范性职业技术学院协作委员会副主任兼顾问、全国高等学校教学研究会常务理事、广东省人民政府教育咨询小组成员、广东省民办教育协会常务副会长兼秘书长、广州岭南教育集团总裁，享受国务院特殊津贴专家。
俞教授的讲座以《大力发展新职教：高职本科院校高质量发展的新思路》为主题。俞教授在讲座中指出，贯彻落实职教
20条是建设高职本科院校的重中之重，“职教20条”既是宏伟蓝图又是行动纲领，既是动员令又是项目书，既面向职教界又面向产业界，其重大的战略意义和现实意义早就超出了职业教育的范畴。
他结合新时代背景和自己学习工作经历，深入浅出地分析了发展新职教是当前优质校建设的新思路。他指出，以什么样的思路推动优质校建设，是一个重大的战略定位和战略设计的问题。当前新经济、新技术、新业态均要求发展新职教，我国职业教育的转型、新职教的落实已经十分紧迫。而职业教育的新旧动能转换，就是从单纯适应
“世界工厂”的职业教育，转变到更适应中国智造、中国创造的职业教育，从传统服务业和商业到“云、物、大、智”时代下的现代服务业和现代商贸业。职业教育在人才培养规格、职业院校定位、专业顶层设计、校企合作形式、实践教学基地功能、课程内容和考核标准、师资队伍建设标准和要求、职业素质教育与养成内容等方面需要重新定义。
面对新时期的机遇和挑战，他说，山东工程的全体职教人要升本不忘本，做新职教的旗手、推手和高手，并提出七点建议：
一是对接产业新技术，成为新兴技术全面引入职业教育的典范；二是面向现代化主战场，为山东产业的新旧动能转换作出贡献；三是在新职教的旗帜下探讨高职本科院校的新定位、新任务；四是
高举创新创造大旗，打造职业本科院校新亮点；四是围绕新职教开展新一轮
“三说”（说专业、说课程、说项目）活动；五是围绕新职教，将“地方离不开、业内都认可、国际能交流”指标化；六是落实好新职教的八大新定义；七是从修改计算机公共课的教学内容、修改大学英语部分的名称、修改公共数学课的内容、修改实训室的名称、修改职教所的名称等五个方面，进行新职教的五大新调整。
讲座结束后，我校吴梦军校长代表学校对俞仲文教授高水平的精彩讲座表示感谢。吴梦军校长在总结讲话中表示，通过俞校长的讲解，让我们对职业教育有了全新的认识和思考，更加明确了发展方向，为更好地开展本科层次的职业教育工作具有指导意义。作为教育部首批职业本科改革试点院校，既是党和国家的使命重托，又是一项前无古人的艰巨挑战。我们的办学理念、办学定位、办学思路、人才培养模式、课程体系设计、内涵建设与创新发展、特色发展、质量管理等都要不断优化、转型和升级。希望与会人员认真研究报告内容，深刻领会报告本质精髓，把握新经济、新业态、新技术背景下职业教育的发展脉搏，开阔发展眼光，指导推动工作实践，不断增强事业心和凝聚力，为建设当地离不开、行业都认同、国内有影响的高水平职业技术大学做贡献。
作者：文化宣传处

赵珣

教务处

朱宏雁

编辑：赵珣

编审：魏本江
",,10,https://www.suet.edu.cn/info/1026/2654.htm
我校召开第五届“互联网+”创新创业大赛工作部署会, 发布时间: 2019-05-16,"
5月16日上午，我校在卓越楼五楼第二会议室召开了第五届中国“互联网+”创新创业大赛工作部署会，副校长王守光出席会议，对大赛工作提出要求。创新创业工作领导小组成员参加会议。
就业创业处宿立优处长在会上介绍，为做好
“互联网+”创新创业大赛工作，学校专门成立了创新创业工作领导小组，吴梦军校长亲自挂帅担任组长，张有志、王守光副校长为副组长，体现了学校领导的高度重视。宿立优结合我校实际，对校内选拔赛的具体方案及要求进行了说明，并介绍了第五届“互联网+”大学生创新创业大赛的新变化，明确了各院部的工作要求，对各时间节点的工作任务作了强调。
最后，王守光副校长提出工作要求
。
他指出，
“互联网+”大学生创新创业大赛在2014-2018年开赛以来，是各类创新创业比赛中水平最高、规模最大、档次最高的综合性赛事。各部门各单位
务必高度重视，
整合资源做好参赛项目的选拔工作，抓好指导工作。各院部要广泛宣传并动员师生、校友参加大赛，将创新创业纳入日常教育教学工作中
。
全校要步调一致、通力合作，做好比赛前期的宣传指导、政策指引、服务保障等工作
。要
把学校各级各类大赛与
“互联网+”大赛结合起来，切实增强学生的创业意识和创新能力。
作者：就业办

部宗娜

编辑：赵珣

编审：汪少龙
",,9,https://www.suet.edu.cn/info/1026/2664.htm
广西壮族自治区政协副主席陈刚率考察组来我校参观考察, 发布时间: 2019-05-07,"
5月6日上午，广西壮族自治区政协副主席、自治区总工会主席陈刚率考察组一行14人
来
我校
参观
考察
，
山东
省政协
教科卫体委员会主任
郭建磊陪同。
学校党委书记胡小林、校长吴梦军等领导热情接待了陈刚一行。来宾们在校领导的陪同下参观了汽车工程训练中心、机械工程训练中心、鼎利学院（互联网
+学院）等实验实训中心。在实地考察过程中，来宾们与校领导从学校职业教育发展、管理体制改革、师资队伍建设、人才培养创新、技能培训提升、校企合作模式加强、现代职业教育体系完善等方面进行了深入交流。参观结束后，陈刚对我校先进的实验实训设备和产教深度融合、校企协同育人的教学理念给予了高度赞赏，并对我校
以本科职业教育试点为契机，
建设特色鲜明的高水平
职业技术大学寄予厚望
。
双方一致认为
，
要想办好
高质量职业
教育，必须
全面
贯彻落实全国教育大会精神及一系列职业教育改革文件精神，
进一步
明确办学定位，突出优势和特色；优化学科专业结构，培植特色专业；加大高层次人才引进力度，优化师资队伍结构；深化校企合作，产教融合；加强校园建设，完善硬件条件，不断提升综合实力。
今后，
我校
将
进一步
与广西壮族自治区各高校加强交流与协作，共同
开创职业教育事业发展新局面
。
作者：
党政办公室

王允芹

编辑：赵珣

编审：汪少龙
",,8,https://www.suet.edu.cn/info/1026/2674.htm
我校举行2019年校内基金课题申报答辩会, 发布时间: 2019-04-22,"
4
月
19
日下午，
我校科研处在卓越楼五楼第二会议室
举行
2019校内基金
课题
申报
答辩
会
，包括
计算机
、
机械制造
、
经济管理
、
教育
等多个学科的十
七项
课题参与了答辩。
学
校
副校长李章
泉
、科研处处长葛伟以及刘欣副教授
组成评审专家组，
李章
泉
主持本次
申报
答辩
会
。
十
七
个课题的负责人对本组的课题进行了介绍和汇报，包括研究背景、理论依据、研究意义等内容，重点阐述了研究内容、研究过程和研究结论。评委对每位老师的
申报材料
和现场汇报分别作了点评。
答辩过程中，专家从学科前沿的高度指导我校教师从全新的角度认识自己的研究项目，使教师获得了一次难得的学习提高的机会，进一步推动了我校科学研究工作的发展。

同时，专家还指出
，
各位教师在进行科研的过程中
要
更多的关注科学研究的严谨性问题，将
申报材料
进一步规范化、细致化
，
内容
更
充实和具体，
以期对改进教育教学起到更大的影响和指导作用。
作者：科研处

肖圣颖

编辑：赵珣

编审：魏本江
",,7,https://www.suet.edu.cn/info/1026/2684.htm
章丘大学园区重点提案座谈会在我校召开, 发布时间: 2019-04-12,"
4月12日上午，为进一步发挥驻章高校师资和实训资源优势，促进章丘区政校企交流合作，加快校地融合，章丘大学园区管理服务中心
在我校
召开
了
重点提案座谈会。出席会议的有
：
章丘区政协经科委主任刘志勇，章丘大学园区管理服务中心主任刘在明、副主任宋万意
，
我校副校长李梅松
，人事处、就业创业指导处、组织统战部负责人及驻章高校政协委员代表。
驻章高校政协委员
有
山东旅游职业学院图书馆馆长孔燕、山东技师学院副院长许教伍、齐鲁理工学院生物工程教研室主任成堃、济南工程职业技术学院经济管理学院副院长张泽起
、我校
合作开发处处长牛翔
等
，会议由宋万意同志主持。
首先，李梅松副校长向来宾们介绍了凯文学院校地合作情况，
随后共同
观看了
学校
宣传片。来宾们对
我校
栉风沐雨数十载取得的成就惊叹不已，并称赞凯文学院坚持工科立校，在服务区域经济社会发展方面做出了卓越贡献。
随后，牛翔委员就《关于深化校地融合，建立校地互动机制的提案》提出如下意见：一是尽快搭建校地融合平台
；
二是加大校地融合的对接力度
；
三是推行以政府为主导的政产学研模式
；
四是统筹地方与高校发展规划。牛翔委员的建议得到与会人员的一致赞同，来宾们又在此基础上各抒己见，共同助力章丘区经济发展。
座谈会后
，来宾们在我校领导的陪同下参观了机械工程训练中心、鼎利学院等实验实训场所。来宾们对我校先进的实验实训设备、
“四真四化”的教学模式以及深度产教融合、校企双元育人的人才培养模式予以高度评价。参观结束后，刘在明主任对学校领导的热情接待表示衷心感谢，并希望
进一步
增进校地双方沟通联系，共同推进校地
融合向纵深发展
，最大程度地发挥高校在服务区域经济社会发展中的助推作用。
作者：
党政办公室

王允芹

合作开发处

牛翔

编辑：赵珣

编审：魏本江

",,6,https://www.suet.edu.cn/info/1026/2691.htm
中国前驻德国大使卢秋田应邀来我校作专题报告, 发布时间: 2019-04-01,"
4月1日上午，
中国前驻德国大使卢秋田做客我校，以
“东西方文化
和思维差异与对外交流合作
”为主题，在
诚基楼多功能学术报告厅
为
凯文
师生们带来了一场别开生面的
报告
。
出席讲座的嘉宾有：我校理事长吴立春，副校长王守光，
党政办公室主任韩启斌，
济南市中德交流合作协会会长林松，济南市中德交流合作协会常务副会长隋锡生，前西门子（中国）高级副总裁、中德交流合作协会专家顾问张敦杰，济南中德交流合作协会秘书长姜大伟。报告会由副校长林玉贵主持。
报告会开始前，卢秋田大使在校领导的陪同下参观了我校机械工程实训中心和鼎利学院实训中心。会上，卢秋田大使结合自己丰富的外交经验和人生阅历，与大家分享他眼中的东西方文化差异及应对之策。他从多年的所见所闻出发，以讲故事的形式生动形象地阐述了东西方文化的主要差异，特别引用中国和德国不同的待人接物及礼仪文化的实例进行说明，并总结出，东方文化在表达上较为含蓄，西方表达方式直接。诙谐幽默的语言和生动丰富的讲授引起台下师生的热烈掌声，让聆听的师生们更加清晰深入了解东西方文化的不同。
副校长林玉贵在总结讲话中，希望广大师生要深刻理解卢秋田大使的专题报告内容。作为当代大学生，要多了解中西方文化的差异，为中西文化交流与合作做出自己的奉献！
作者：赵珣

编辑：赵珣

编审：魏本江
",,5,https://www.suet.edu.cn/info/1026/2702.htm
三庆集团董事长、山东凯文科技职业学院（本科）理事长吴立春出席2019博鳌亚洲论坛, 发布时间: 2019-04-01,"
2019年3月29日上午，博鳌亚洲论坛2019年年会在博鳌举行。中国海外交流协会常务理事、中国侨商投资企业协会常务副会长、三庆集团董事长、山东凯文科技职业学院（本科）理事长吴立春先生出席会议，并在会前作为侨界代表得到李克强总理亲切接见。
2019博鳌亚洲论坛主题为“共同命运、共同行动、共同发展”。围绕共同命运、共同行动、共同发展的主题，四天时间共举办五十多场分论坛和主题讨论，2000多名与会嘉宾围绕走向开放的世界经济、新时代中国等主题展开充分讨论，就加强国际合作，扩大多边主义、构建开放型世界经济达成广泛共识。
对话会召开前，李克强总理亲切接见了吴立春董事长等出席博鳌亚洲论坛2019年年会的香港、澳门和侨界代表并合影留念。
编辑：赵珣   编审：魏本江
",,5,https://www.suet.edu.cn/info/1026/2703.htm
缅怀革命先烈，弘扬革命精神 ——我校组织团员青年赴英雄山扫墓, 发布时间: 2019-04-03,"
4月2日，我校50名师生在团委书记王斌的带领下，前往济南英雄山烈士陵园祭奠先烈。出发前，学校副校长李梅松，要求全体师生通过本次活动，在瞻仰先烈的同时学习革命传统知识，了解历史发展过程，珍惜来之不易的学习机会和生活环境，同时要展示当代学子良好的精神风貌。
上午
10点，我校师生到达英雄山烈士陵园，在纪念广场参加了集体追悼仪式，由我校团干部赵冲作为代表致追悼词，全体师生低吟悼词表达心中的哀思，并奉上满载着崇敬之意的花圈。中国新闻网（中新社）记者对我校团员王亚萍同学进行了采访，王亚萍表示，“作为山东凯文科技职业学院（本科）的一名在校大学生，聆听革命先烈的丰功伟绩感触非常多，很受教育。作为当代青年，要传承弘扬革命先烈的崇高精神，要坚定理想信念、练就过硬本领、勇于创新创造、矢志艰苦奋斗、锤炼高尚品格。”
随后来到
“爱国主义教育基地“济南战役纪念馆，大量的实物和战争图片使团员青年们真正了解了革命战士在战役中所做的巨大贡献，全景画馆的战斗仿真场景构画出一幅炮火连天，群英会战，气势磅礴的大规模攻坚战和歼灭战的战场实景，给人以更为强烈的震撼。团员青年们进入全景画馆，仿佛超越时空，走进了血与火的战场，逼真的场景使每个人视觉受到了强烈的冲击。
最后团员青年们徒步登上革命英雄纪念碑，并在英雄碑下举行了悼念革命英雄仪式，他们重温了入团誓词，团员青年代表王亚萍发言，团委书记王斌讲话，他代表校团委向全体团员青年提出几点希望：一、牢记使命，刻苦学习，学习是进步的根基，广大团员青年要树立为中华民族的崛起和振兴而勤奋学习的精神，要敏于求知、刻苦钻研，努力学习、掌握现代科学文化知识，不断加强自身修养，增强为人民服务的本领。
二、在学习和生活中要牢记习总书记嘱托，不断砥砺品质，磨炼意志，树立远大理想，把个人命运同祖国和民族的命运紧紧联系在一起，满怀热情的投入到建设祖国的行列中去。
三、加强政治修养，做中国特色社会主义事业的建设者和可靠接班人。不断加强政治理论的学习，为共产主义事业奋斗终身！
本次扫墓活动是我校爱国主义教育形式之一，活动过程中，
我校团委
利用微信和
QQ新媒体平台向全校团学干部、团员青年实时转发扫墓活动的图片、视频，分享活动感受，团学干部、团员青年有2000余人进行线上互动，线下交流，提高了教育效果，扩大了受教育面。
作者：团委

皮娜

蔡雷停

编辑：赵珣

编审：魏本江

",,5,https://www.suet.edu.cn/info/1026/2701.htm
我校开展2019年辅导员职业素质能力测试, 发布时间: 2019-04-04,"
4月3日
，我校
在卓越楼
110
教室组织开展
了辅导员职业素质能力测试
，全体辅导员参加了
此次
测试。
针对本次测试，副校长李梅松做了专门的设计，
并
阐述了
此次
测试的目的和意义
。
他强调，此次
辅导员职业素质能力测试
是
我校
全面提升辅导员能力
水平
的一
项重要
举措
。
他要求辅导员做到：一是认清新时代赋予辅导员的新使命，不断加强学习；二是明确自己肩上的责任，围绕为谁培养人、培养什么样的人、怎样培养人的根本问题开展工作；三是在工作中理清工作思路，点面结合，发挥主观能动性；四是准确把握职业教育的新动向，掌握学生思想动态，将工作抓实、抓细。
测试开始前，
学生工作处副处长王万里
就进一步提升辅导员的职业能力进行了动员
。
他
提到，全体辅导员
要从思想上提高重视，将此次测试作为自己工作的一次检验；
要
结合自
身
工作经历，将自己的所学、所想、所悟充分展现
出来
；
要坚定职业自信，提升专业素养，努力
成为优秀
的新时代辅导员
,
做好学生成长成才的引路人。
测试采用闭卷形式，
通过案例剖析、材料撰写的方式，主要
考察辅导员对思想政治教育
工作的精准把握
与
正确实施，以及辅导员
对相关
政策和问题的
分析
与
解决
问题的
能力。测试
过程
中，全体辅导员沉着冷静，认真作答，
整个
考场秩序井然。
作者：学生处

夏娟娟

编辑：赵珣

编审：魏本江

",,5,https://www.suet.edu.cn/info/1026/2698.htm
罗志教授应邀来我校作专题报告, 发布时间: 2019-04-04,"
4月
4
日上午，中国高等职业教育研究会副会长
罗志教授
做客我校，以
“
政策与行动：《国家职业教育改革实施方案》解读
”为主题，在诚基楼多功能学术报告厅为
师生代表
带来了一场
精彩纷呈
的报告。我校
党委书记胡小林，校长吴梦军，
副校长
林玉贵、
王守光
、李梅松等领导出席会议
。报告会由
党委书记胡小林
主持。
罗志教授从事职业教育管理与探究多年，既有高深的职教理论又有丰富的实践经验，他从方案
的起草
背景，
主要内容
，
创新点
，
学校的行动力
四个方面深刻解读了《国家职业教育改革实施方案》。他指出随着产业转型升级、制造强国建设等国家战略的推进，加快发展现代职业教育成为当前的紧要任务，党中央站在党和国家发展全局的高度，把职业教育摆在了前所未有的突出位置，《国家职业教育改革实施方案》应运而生。
他详细解读了方案的主要内容和创新点。
他指出
职业教育要想办好，首先要树立政府统筹管理、社会多元办学的格局目标，提高质量的追求目标，企业社会参与、专业特点鲜明的模式目标；其次，要严格执行
“把职业教育摆在教育改革创新和经济社会发展中更加突出的位置、完善职业教育和培训体系、鼓励和支持社会各界积极支持职业教育”的总体要求；最后，要将方案落实到七方面具体措施，即健全国家职业教育制度框架、构建职业教育国家标准、促进产教融合校企双元育人、建设多元办学格局、完善技术技能人才保障政策、加强职业教育办学质量督导评价、做好改革组织实施工作。
他指出方案创新点在于：一是
确立
了
以习近平总书记关于教育的重要论述精神为办好新时代职业教育的根本遵循
；
明确办好类型教育的发展方向
；二是
形成共同推动职业教育发展的合力
；三是
建立一批制度标准
；四是
推出一批有基础、可操作的重大项目
；五是
启动
了
一批重大改革试点。
最后，他强调凯文学院作为全国首批本科层次职业教育试点院校，承担着为国家职教改革探索新思路、新路径的光荣使命，要做到与时俱进、开拓创新：一是加强组织领导；二是提升培养质量；三是推动多元办学；四是全面加强产教深度融合、校企协同育人；五是加强
“双师型”教师队伍建设；六是提高管理干部队伍素质。
胡小林书记在总结讲话中表示，通过罗教授的讲解，让学校对
“职教
20条
”有了更深层次的认识和理解，进一步明确了我校本科职业教育试点的前进方向和工作思路。作为全国首批试点院校，我们的办学理念、办学定位、办学思路、人才培养模式、课程体系设计、内涵建设与创新发展、特色发展、质量管理等都要不断优化和升级。希望与会人员认真学习领会罗教授报告的精髓，结合自身岗位工作，进一步解放思想、提高认识、明确责任，不断增强事业心和凝聚力，以舍我其谁的使命感和担当意识，肩负起改革试点的历史重任，争取早日将学校建成高起点、高品质、高水平、特色鲜明的职业技术大学。
作者：党政办公室

王允芹

编辑：赵珣

编审：魏本江
",,5,https://www.suet.edu.cn/info/1026/2699.htm
湖北师范大学党委副书记马列军一行来校考察交流, 发布时间: 2019-04-04,"
4月3日下午，
湖北师范大学党委副书记马列军一行
8人，鼎利教育集团研究院运营总监宋继忠、商务总监龚浩来校就产教融合校企合作、鼎利学院建设与运营进行考察交流。我校副校长张有志、张诚，就业创业处主任宿立优、合作开发处处长牛翔、鼎利学院执行院长薄金龙热情接待了
来宾
。
来宾们
在我校领导的陪同下参观了机械工程训练中心、鼎利学院（互联网
+学院）等实验实训场所。马副书记对我校先进的实验实训设备及产教融合校企合作的人才培养模式给予了充分肯定。
随后双方就校企合作内容、模式，教学培养计划、课程设计，质量监控等进行了座谈交流。张有志副校长从宏观的角度介绍了我校与鼎利集团共建的
5个社会急需的专业，即通信技术专业（移动通信方向）、电子信息工程技术专业（物联网应用方向）、计算机应用技术专业（移动应用开发方向）、电子商务专业（电子商务平台应用方向）、机电一体化技术专业（工业机器人应用方向）。另外，张有志副校长提到校企共建专业的人才培养方案需在符合国家要求的基础上，与学校教学培养计划有机结合。张诚副校长就鼎利集团对学校设备资本投入状况、设备运行情况、校企合作流程等方面进行了介绍。鼎利学院执行院长薄金龙介绍了鼎利学院人才培养模式、课程设计、教学计划、教学质量监控与评价等内容，他强调在教学评价上学校通过学生满意度调查、学生成绩考核、技能大赛等方式综合衡量企业教师的教学效果；鼎利学院还通过成立精英班、兴趣小组、答疑等方式增强师生互动、帮助学生成长。
马列军简要介绍了黄石的风土人情和湖北师范大学的办学情况，对我校校企合作取得的成绩表示高度赞赏。他指出，凯文学院作为全国首批本科层次职业教育试点院校，在服务区域经济社会发展方面做得非常扎实，在产教融合、创新创业工作
中
积累了先进的办学经验，希望今后两校加强交流，建立紧密联系，协同发展
的关系
。
双方一致表示
，
随着产业结构转型升级、制造业向中高端迈进，高等教育需更加重视高层次技术技能人才培养。未来双方将在资源共享、合作共赢的基础上进行合作，不断完善人才培养体系，深化产教融合、校企合作，促进双方共同发展。
作者：
党政办公室


王允芹

编辑：赵珣

编审：魏本江


",,5,https://www.suet.edu.cn/info/1026/2700.htm
我校参加章丘区消防工作会议并荣获先进单位, 发布时间: 2019-04-09,"
4月4日下午，章丘区政府在龙泉大厦召开全区消防工作会议，我校代表保卫处赵争科长参加了本次会议。
会议由区政府办公室副主任刘平科主持，冯波大队长宣读了
2018年全区消防工作报告；刘平科副主任宣读了表彰全区消防安全“能力提升年”活动先进单位的通报；高福胜局长部署了区政府安委会消防安全“工作落实年”活动；董鹏同志做了重要讲话。
2018年，我校坚持综合治理，积极开展消防工作“能力强化年”活动，稳步提升消防安全管理水平。我校在此次活动中荣获先进单位，这既是对我校消防安全工作的肯定，也是我们前进的动力。我校将绕建国70周年消防安保“一条主线”，健全完善火灾防控体系，认真查摆工作中的短板、弱项，切实加以改进消除隐患，确保我校消防安全形势的持续稳定。
作者：保卫处

赵争

编辑：赵珣

编审：魏本江
",,5,https://www.suet.edu.cn/info/1026/2697.htm
我校举办2019年第一期团学干部培训班, 发布时间: 2019-04-10,"
4月9日下午，我校2019年第一期团学干部培训班开班仪式及第一讲在卓越楼310正式开讲。本次培训对象为我校50余名优秀团学干部，
主要目的是
培养优秀学生干部，锻造精英干部队伍。
此次培训得到了济南市人力资源与社会保障局的支持，山东省就业促进会创新创业专业委员会主任陈宗晓出席开班仪式并担任本次培训的主讲老师，
同时，我校副校长李梅松为团学干部们带来了精彩的培训。
第一讲
“团学干部的素质与能力提升”由
李梅松副校长
主讲
，
他
从
“学生干部的作用、定位、工作原则以及工作方法”等几个方面进行了细致分析。指出学生干部是贯彻落实学校各项工作的桥梁纽带，是建设校园文化的重要队伍。并指出学生干部普遍存在的一些问题：缺乏创新意识、工作热情的阶段性以及部分学生干部的成绩有待提高。接着，讲到工作时要将理论与实践相结合、服务同学与发展自身相结合、继承与创新相结合。同时，要靠一些积极分子推进工作、开展深入细致的思想目标工作、实行目标管理、引入激烈的竞争。
李副校长的课形象生动，旁征博引，团学干部们积极参与互动，各抒已见，课堂气氛活跃。
据悉，
本次培训将持续
6天，共分为6讲，接下来的培训内容将由陈宗晓主任主讲。
我校一直以来注重团学干部的培养，
加强团干部培训，
大胆创新培训模式
。
结合当代青年特性，以思政教育为核心，大力弘扬革命精神和传统文化，践行社会主义核心价值观，构筑青年学生的精神支柱。
同时，
为保证培训落地转化质量和覆盖面，团委运用互联网思维，利用微信和
QQ新媒体工具面向全院团干实时传发团干的培训图片、视频，实时分享培训感受与全
校
团干线上互动，
线下开展交流，
去年以来共有
3
000
余名团员青年参与其中，收效明显、反响强烈，全
校
掀起了学先进、立志向的热潮，提高了
士
气、凝聚了人心，团学干部的理论素养、工作水平和创新能力进一步加强
。
作者：团委

皮娜

编辑：赵珣

编审：魏本江
",,5,https://www.suet.edu.cn/info/1026/2696.htm
淄博市政府研究室副主任、党组成员高乾长一行来校考察调研, 发布时间: 2019-04-11,"
4月10日下午，
淄博市政府研究室副主任、党组成员高乾长
一行
6人，济南市
政府研究室副主任、党组成员管圣喜
，章丘区
政府机关党组副书记刘绍权
等人来校考察调研。我校副校长李梅松，校长助理钮平章，
鼎利学院执行院长薄金龙热情接待了来访领导。
来访领导在我校领导的陪同下参观了机械工程训练中心、鼎利学院等实验实训场所。在机械工训中心，来宾们参观了数控加工中心、
3D打印等实验室，来访领导对我校数控加工中心，科研产品，激光快速成型机，烧结型、熔融型3D打印等先进设备和学生作品赞叹不已，并对我校“四真四化”的教学模式予以高度评价。
随后，来访领导参观了鼎利学院的工业机器人实验室、移动通信实验室、电子商务等实验室。鼎利学院执行院长薄金龙介绍，鼎利学院由学校与世纪鼎利
集团
合作共建，采用独特的
UBL人才培养模式，使学生的知识水平、专业技能和综合素质得到迅速提高。来访领导一致认为鼎利学院真正实现了深度产教融合、校企双元育人，通过产教融合的人才培养模式使专业课程群与就业岗位群无缝对接，极大地提高了学生的就业竞争能力。
参观结束后，高乾长副主任对我校先进的实验实训设备和育人理念给予了充分肯定，并对学校发展寄予厚望，希望双方加强沟通联系，打造多方政企校地合作平台，形成服务区域经济的校企合作长效机制，为区域经济发展服务。
作者：
党政办公室


王允芹

编辑：赵珣

编审：魏本江
",,5,https://www.suet.edu.cn/info/1026/2694.htm
山东省教育厅关于做好2019单招和综合评价的通知鲁教学字〔2019〕5号, 发布时间: 2019-04-11,"
山东省教育厅关于做好2019单招和综合评价的通知鲁教学字〔2019〕5号
.pdf
",,5,https://www.suet.edu.cn/info/1026/2695.htm
韩国韩世大学柳珍姬博士到访我校并进行讲座, 发布时间: 2019-04-12,"
4月12日上午，韩国韩世大学国际交流学院院长柳珍姬博士一行到访我校
并进行
讲座，以
“一带一路倡议下，高等职业教育的国际视野”为主题，在诚基楼多功能学术报告厅为凯文学子们带来了一场精彩纷呈的讲座。
讲座
由继续教育学院史守如院长主持。
讲座中，柳珍姬博士以人生中最难忘的两件事为引入点，结合自己
10年来在中国台湾留学的丰富阅历，与学生做人生分享。以讲故事的方式生动趣味地给学生阐述语言对一个人人生道路、职业生涯规划的积极影响。鼓励我校学生认真学习外语，开拓思想，紧跟一带一路倡导的主旋律，走出国门，提升自我。
继续教育学院院长史守如表示，高等职业教育要紧跟
“一带一路”建设和国际产能合作，集聚我国优质职业教育资源，通过院校合作、校企合作、政府援外等方式，探索与中国企业和产品“走出去”相适应的职业教育国际化模式，与国际社会共享、交流中国职业教育模式、标准和资源。高等教育的道路就是要“走出去”，“请进来”。史院长在总结时表示，国际化是大学服务国家战略的使命要求，加快高等教育国际化进程，加快高校的开放办学，加大国际教育、人文和学术的国际交流与互动，是我国面向全球传播中国文化、讲好中国故事、传播中国声音、汇聚中国精神、宣传中国道路、凝聚中国力量的重要战略举措，讲话引起学生热烈反应，在学术报告厅掀起阵阵掌声。
柳珍姬博士讲座结束后，我校校长吴梦军在卓越楼五楼贵宾接待室给柳珍姬博士颁发了客座教授聘书，聘柳珍姬博士为我校客座教授，聘期
3年。
作者：
继续教育学院

宋春雨

编辑：赵珣

编审：魏本江
",,6,https://www.suet.edu.cn/info/1026/2692.htm
我校召开2019年科研工作研讨会, 发布时间: 2019-04-12,"
从高职院校升格为职业本科院校后，学校的科研工作如何适应形势发展需要得到进一步加强？
4月11日上午，我校召开2019年科研工作研讨会就此进行探讨和部署。副校长李章泉出席并主持会议，科研处及各二院（部）分管科研工作的相关人员参加会议。
会上，科研处处长葛伟就
2018年我校科研工作情况进行了总结汇报，通报了
主要科研指标的完成情况，并
对
2019年学
校
科研工作的重点
进行了部署。科研处
肖圣颖
科长
通报了
2018年度学校《全国普通高等学校科技（人文、社科）统计报表》的填报情况。
据统计，
2018年我校科研工作取得新的进展，全校教师共发表论文107篇，主编参编教材9部，课题立项26项，参与横向课题2 项，申请专利3 项、工法1项，各级各类成果获奖24项。
研讨会
气氛热烈，
大家踊跃发言，围绕
学院
2019年科研工作献言献策，针对科研机构设立、科研团队建立
、科研经费落实、科研课题申报
等问题提出建议。
副
校长
李章泉
最后
作
总结发言
。他说，升格为本科后，全校教师对科研工作
“做什么，怎么做，为什么做”等要有一个认识上的提升，积极投身科研，多方申报课题，以科研促教学，使我校科研工作有新的起色。
一
是要营造科研氛围，把科研文化作为校园文化的一个重要的组成部分着力培育；二
是认清形
势，
加强组织，整合科研力量形成有分量的科研团队
；三
是落实责任。各二院
（部）要
设立分管科研的
副
院长，明确科研方向，
激励教师通过科研提高水平；四是
努力申报各级基金和计划项目
，服务地方经济社会发展，以服务求各方支持，以贡献谋学校发展；五是积极参与横向课题研究，提高服务行业、企业的能力和水平，为企业解决技术难题，促进产教融合和产学研结合。

作者：科研处

肖圣颖

编辑
:赵珣   编审：魏本江

",,6,https://www.suet.edu.cn/info/1026/2693.htm
